OrgID,Alternative,Brand,Choice,Affordable,Ease,Power,Learning,Supplements,Support,Needs,IT,Matlab,R,SAS,SPSS,Stata,Chosen,Status
7,3,SAS,0,4,5,2,7,4,6,6,7,0,0,1,0,0,2,2
7,4,SPSS,0,7,7,6,7,6,7,4,3,0,0,0,1,0,2,2
7,5,Stata,0,3,7,1,6,5,2,6,7,0,0,0,0,1,2,2
8,1,Matlab,0,1,5,1,2,3,7,2,7,1,0,0,0,0,2,2
8,2,R,0,7,2,1,2,1,1,4,1,0,1,0,0,0,2,2
8,3,SAS,0,1,7,2,5,2,6,4,4,0,0,1,0,0,2,2
8,4,SPSS,0,1,7,6,6,7,7,6,7,0,0,0,1,0,2,2
8,5,Stata,1,3,5,6,6,4,5,7,4,0,0,0,0,1,1,1
9,1,Matlab,1,5,3,7,5,4,5,6,6,1,0,0,0,0,1,1
9,2,R,0,1,1,7,4,6,7,6,3,0,1,0,0,0,2,2
9,3,SAS,0,3,1,3,1,2,3,2,5,0,0,1,0,0,2,2
9,4,SPSS,0,2,7,7,7,4,7,7,7,0,0,0,1,0,2,2
9,5,Stata,0,1,2,2,3,6,6,1,6,0,0,0,0,1,2,2
10,1,Matlab,0,3,6,1,2,2,1,1,4,1,0,0,0,0,2,2
10,2,R,0,7,1,6,1,5,3,4,2,0,1,0,0,0,2,2
10,3,SAS,1,7,5,3,4,6,6,1,7,0,0,1,0,0,1,1
10,4,SPSS,0,1,6,3,1,2,2,5,6,0,0,0,1,0,2,2
10,5,Stata,0,7,7,2,7,5,7,4,2,0,0,0,0,1,2,2
11,1,Matlab,0,2,1,7,3,4,7,5,7,1,0,0,0,0,2,2
11,2,R,0,3,5,4,4,7,3,6,1,0,1,0,0,0,2,2
11,3,SAS,1,6,7,1,5,2,5,5,1,0,0,1,0,0,1,1
11,4,SPSS,0,2,1,3,1,3,1,1,4,0,0,0,1,0,2,2
11,5,Stata,0,1,3,4,6,6,1,5,3,0,0,0,0,1,2,2
12,1,Matlab,0,2,3,7,3,7,7,1,7,1,0,0,0,0,2,2
12,2,R,0,5,2,7,2,5,2,6,3,0,1,0,0,0,2,2
12,3,SAS,0,2,3,4,1,2,6,1,7,0,0,1,0,0,2,2
12,4,SPSS,0,4,7,3,5,1,3,7,3,0,0,0,1,0,2,2
12,5,Stata,1,7,7,2,4,4,2,4,2,0,0,0,0,1,1,1
13,1,Matlab,0,1,7,7,5,5,7,7,7,1,0,0,0,0,2,2
13,2,R,1,7,6,6,2,7,3,7,2,0,1,0,0,0,1,1
13,3,SAS,0,3,4,3,5,7,3,3,7,0,0,1,0,0,2,2
13,4,SPSS,0,2,7,2,7,6,6,5,7,0,0,0,1,0,2,2
13,5,Stata,0,7,2,7,3,7,7,2,1,0,0,0,0,1,2,2
14,1,Matlab,0,3,7,7,6,6,7,6,7,1,0,0,0,0,2,2
14,2,R,0,7,7,1,6,5,2,2,5,0,1,0,0,0,2,2
14,3,SAS,0,4,2,6,3,2,4,4,4,0,0,1,0,0,2,2
14,4,SPSS,1,7,7,6,7,7,7,7,4,0,0,0,1,0,1,1
14,5,Stata,0,7,7,4,7,7,6,2,6,0,0,0,0,1,2,2
15,1,Matlab,0,5,1,7,1,2,2,6,1,1,0,0,0,0,2,2
15,2,R,1,7,5,2,3,6,1,5,4,0,1,0,0,0,1,1
15,3,SAS,0,1,1,7,3,5,6,5,7,0,0,1,0,0,2,2
15,4,SPSS,0,1,5,7,6,6,7,6,7,0,0,0,1,0,2,2
15,5,Stata,0,1,1,2,2,3,7,1,7,0,0,0,0,1,2,2
16,1,Matlab,0,1,7,3,6,7,7,6,7,1,0,0,0,0,2,2
16,2,R,1,7,5,7,5,7,4,7,1,0,1,0,0,0,1,1
16,3,SAS,0,3,1,7,1,2,2,2,6,0,0,1,0,0,2,2
16,4,SPSS,0,1,6,7,2,4,1,7,7,0,0,0,1,0,2,2
16,5,Stata,0,1,5,1,7,3,7,2,7,0,0,0,0,1,2,2
17,1,Matlab,1,5,5,7,4,7,7,5,7,1,0,0,0,0,1,1
17,2,R,0,7,6,6,2,7,6,4,3,0,1,0,0,0,2,2
17,3,SAS,0,6,4,3,1,1,2,6,2,0,0,1,0,0,2,2
17,4,SPSS,0,5,5,6,4,5,2,7,5,0,0,0,1,0,2,2
17,5,Stata,0,1,2,1,2,3,1,1,6,0,0,0,0,1,2,2
18,1,Matlab,0,5,1,7,1,7,5,6,5,1,0,0,0,0,2,2
18,2,R,0,7,4,3,1,2,2,4,2,0,1,0,0,0,2,2
18,3,SAS,0,2,5,6,7,3,2,7,1,0,0,1,0,0,2,2
18,4,SPSS,1,5,7,3,7,7,7,1,6,0,0,0,1,0,1,1
18,5,Stata,0,1,3,1,6,3,7,2,7,0,0,0,0,1,2,2
19,1,Matlab,1,1,7,7,7,6,7,5,7,1,0,0,0,0,1,1
19,2,R,0,6,1,7,1,2,2,5,2,0,1,0,0,0,2,2
19,3,SAS,0,2,2,2,2,1,4,2,5,0,0,1,0,0,2,2
19,4,SPSS,0,1,1,7,1,2,3,1,3,0,0,0,1,0,2,2
19,5,Stata,0,1,1,1,4,1,2,2,4,0,0,0,0,1,2,2
20,1,Matlab,0,1,6,6,1,4,2,2,6,1,0,0,0,0,2,2
20,2,R,0,7,6,2,6,7,2,6,7,0,1,0,0,0,2,2
20,3,SAS,0,2,1,7,4,7,5,6,4,0,0,1,0,0,2,2
20,4,SPSS,1,7,7,7,7,7,7,6,4,0,0,0,1,0,1,1
20,5,Stata,0,7,5,2,5,3,7,1,5,0,0,0,0,1,2,2
21,1,Matlab,0,1,3,7,6,7,7,5,4,1,0,0,0,0,2,2
21,2,R,0,2,2,1,6,3,4,1,7,0,1,0,0,0,2,2
21,3,SAS,1,5,7,2,5,7,7,1,7,0,0,1,0,0,1,1
21,4,SPSS,0,7,7,1,6,4,4,1,7,0,0,0,1,0,2,2
21,5,Stata,0,6,3,6,6,2,5,2,3,0,0,0,0,1,2,2
22,1,Matlab,1,5,7,7,1,6,6,6,7,1,0,0,0,0,1,1
22,2,R,0,7,7,5,4,7,2,7,4,0,1,0,0,0,2,2
22,3,SAS,0,1,4,1,4,5,3,6,7,0,0,1,0,0,2,2
22,4,SPSS,0,7,7,5,5,2,4,5,7,0,0,0,1,0,2,2
22,5,Stata,0,3,2,3,2,3,3,2,6,0,0,0,0,1,2,2
23,1,Matlab,0,5,1,7,2,3,7,4,4,1,0,0,0,0,2,2
23,2,R,0,7,7,1,3,6,2,4,5,0,1,0,0,0,2,2
23,3,SAS,0,4,5,1,6,1,6,4,3,0,0,1,0,0,2,2
23,4,SPSS,0,1,1,4,3,2,1,5,4,0,0,0,1,0,2,2
23,5,Stata,1,7,7,4,7,2,1,4,1,0,0,0,0,1,1,1
24,1,Matlab,0,1,3,7,3,7,7,1,7,1,0,0,0,0,2,2
24,2,R,1,7,2,2,7,6,3,1,2,0,1,0,0,0,1,1
24,3,SAS,0,4,1,5,1,2,6,1,4,0,0,1,0,0,2,2
24,4,SPSS,0,2,1,7,6,7,1,5,7,0,0,0,1,0,2,2
24,5,Stata,0,2,7,2,2,6,6,4,7,0,0,0,0,1,2,2
25,1,Matlab,0,4,7,1,7,2,5,7,7,1,0,0,0,0,2,2
25,2,R,0,7,7,1,4,5,6,5,2,0,1,0,0,0,2,2
25,3,SAS,0,3,3,7,1,7,3,5,1,0,0,1,0,0,2,2
25,4,SPSS,0,7,7,3,4,6,1,3,6,0,0,0,1,0,2,2
25,5,Stata,1,5,7,5,7,6,6,4,6,0,0,0,0,1,1,1
26,1,Matlab,0,7,1,7,1,6,7,1,7,1,0,0,0,0,2,2
26,2,R,0,3,1,7,1,4,3,6,4,0,1,0,0,0,2,2
26,3,SAS,1,1,6,7,4,7,7,7,7,0,0,1,0,0,1,1
26,4,SPSS,0,1,1,6,2,1,1,7,4,0,0,0,1,0,2,2
26,5,Stata,0,1,1,5,3,2,4,2,7,0,0,0,0,1,2,2
27,1,Matlab,1,7,7,7,7,7,7,6,6,1,0,0,0,0,1,1
27,2,R,0,5,6,3,5,6,3,6,7,0,1,0,0,0,2,2
27,3,SAS,0,6,4,7,2,7,5,1,1,0,0,1,0,0,2,2
27,4,SPSS,0,1,4,4,6,5,1,6,7,0,0,0,1,0,2,2
27,5,Stata,0,3,7,3,5,5,4,7,6,0,0,0,0,1,2,2
28,1,Matlab,0,4,7,1,2,5,2,7,4,1,0,0,0,0,2,2
28,2,R,1,5,7,4,6,7,7,5,7,0,1,0,0,0,1,1
28,3,SAS,0,6,4,6,5,6,6,3,7,0,0,1,0,0,2,2
28,4,SPSS,0,1,7,1,7,7,2,7,6,0,0,0,1,0,2,2
28,5,Stata,0,5,1,1,1,1,3,2,3,0,0,0,0,1,2,2
29,1,Matlab,0,7,3,7,1,6,7,1,7,1,0,0,0,0,2,2
29,2,R,0,6,1,7,6,7,2,7,3,0,1,0,0,0,2,2
29,3,SAS,0,1,1,5,1,2,1,6,2,0,0,1,0,0,2,2
29,4,SPSS,1,7,7,7,6,5,7,6,6,0,0,0,1,0,1,1
29,5,Stata,0,1,7,1,7,6,7,7,7,0,0,0,0,1,2,2
30,1,Matlab,0,3,1,7,1,5,2,5,3,1,0,0,0,0,2,2
30,2,R,1,7,4,7,7,6,6,6,2,0,1,0,0,0,1,1
30,3,SAS,0,7,6,6,7,6,7,4,3,0,0,1,0,0,2,2
30,4,SPSS,0,5,7,3,4,1,1,5,6,0,0,0,1,0,2,2
30,5,Stata,0,1,7,1,5,5,2,2,1,0,0,0,0,1,2,2
31,1,Matlab,0,6,4,1,4,1,7,1,6,1,0,0,0,0,2,2
31,2,R,0,2,2,5,3,3,2,4,6,0,1,0,0,0,2,2
31,3,SAS,0,1,6,5,5,7,1,6,7,0,0,1,0,0,2,2
31,4,SPSS,0,4,3,4,5,2,6,5,7,0,0,0,1,0,2,2
31,5,Stata,1,7,7,3,7,1,7,3,1,0,0,0,0,1,1,1
32,1,Matlab,1,3,6,6,7,7,7,2,7,1,0,0,0,0,1,1
32,2,R,0,7,2,7,5,5,7,2,4,0,1,0,0,0,2,2
32,3,SAS,0,2,5,6,3,1,1,7,3,0,0,1,0,0,2,2
32,4,SPSS,0,1,1,3,5,1,3,4,7,0,0,0,1,0,2,2
32,5,Stata,0,6,7,6,6,6,7,2,6,0,0,0,0,1,2,2
33,1,Matlab,1,7,4,7,4,4,6,6,6,1,0,0,0,0,1,1
33,2,R,0,7,7,6,5,7,5,4,4,0,1,0,0,0,2,2
33,3,SAS,0,3,1,7,2,5,1,6,1,0,0,1,0,0,2,2
33,4,SPSS,0,2,3,5,3,7,2,4,6,0,0,0,1,0,2,2
33,5,Stata,0,3,7,5,6,6,6,3,3,0,0,0,0,1,2,2
34,1,Matlab,0,1,4,4,3,1,6,2,7,1,0,0,0,0,2,2
34,2,R,1,7,4,3,6,1,7,7,5,0,1,0,0,0,1,1
34,3,SAS,0,6,1,5,2,5,1,1,6,0,0,1,0,0,2,2
34,4,SPSS,0,6,7,6,7,3,7,4,7,0,0,0,1,0,2,2
34,5,Stata,0,7,7,1,7,4,7,1,4,0,0,0,0,1,2,2
35,1,Matlab,0,6,4,7,3,1,7,1,7,1,0,0,0,0,2,2
35,2,R,0,2,6,1,5,6,1,6,4,0,1,0,0,0,2,2
35,3,SAS,0,7,4,6,7,2,5,3,2,0,0,1,0,0,2,2
35,4,SPSS,1,6,7,2,6,3,6,6,7,0,0,0,1,0,1,1
35,5,Stata,0,1,1,2,2,2,1,1,2,0,0,0,0,1,2,2
36,1,Matlab,0,2,1,7,6,6,4,6,2,1,0,0,0,0,2,2
36,2,R,1,7,5,7,7,7,7,7,4,0,1,0,0,0,1,1
36,3,SAS,0,1,4,5,2,3,6,3,3,0,0,1,0,0,2,2
36,4,SPSS,0,1,1,7,4,3,7,5,6,0,0,0,1,0,2,2
36,5,Stata,0,5,7,1,6,6,7,7,7,0,0,0,0,1,2,2
37,1,Matlab,1,5,3,7,5,7,7,7,2,1,0,0,0,0,1,1
37,2,R,0,3,5,2,2,6,2,1,7,0,1,0,0,0,2,2
37,3,SAS,0,1,5,3,3,3,6,3,4,0,0,1,0,0,2,2
37,4,SPSS,0,4,2,7,2,5,1,2,1,0,0,0,1,0,2,2
37,5,Stata,0,1,4,2,2,5,4,1,4,0,0,0,0,1,2,2
38,1,Matlab,0,2,2,2,2,5,2,1,7,1,0,0,0,0,2,2
38,2,R,0,2,1,2,3,2,2,4,5,0,1,0,0,0,2,2
38,3,SAS,0,1,6,3,4,3,3,6,3,0,0,1,0,0,2,2
38,4,SPSS,0,7,6,5,2,1,7,1,6,0,0,0,1,0,2,2
38,5,Stata,1,7,7,3,5,6,7,3,6,0,0,0,0,1,1,1
39,1,Matlab,0,6,1,4,1,6,7,1,7,1,0,0,0,0,2,2
39,2,R,0,7,6,6,6,6,3,6,1,0,1,0,0,0,2,2
39,3,SAS,0,1,3,1,3,1,2,3,5,0,0,1,0,0,2,2
39,4,SPSS,1,4,7,6,6,7,5,7,7,0,0,0,1,0,1,1
39,5,Stata,0,7,7,1,5,2,7,1,3,0,0,0,0,1,2,2
40,1,Matlab,0,1,4,7,2,7,7,7,7,1,0,0,0,0,2,2
40,2,R,0,1,4,7,4,7,2,7,7,0,1,0,0,0,2,2
40,3,SAS,0,7,1,7,5,2,7,7,1,0,0,1,0,0,2,2
40,4,SPSS,0,1,7,1,3,3,2,6,7,0,0,0,1,0,2,2
40,5,Stata,1,5,7,7,7,6,7,7,6,0,0,0,0,1,1,1
41,1,Matlab,0,2,1,7,2,6,7,5,7,1,0,0,0,0,2,2
41,2,R,1,6,3,5,6,7,1,7,1,0,1,0,0,0,1,1
41,3,SAS,0,1,3,5,4,2,6,6,4,0,0,1,0,0,2,2
41,4,SPSS,0,6,6,1,6,6,7,1,6,0,0,0,1,0,2,2
41,5,Stata,0,4,7,1,7,5,6,2,6,0,0,0,0,1,2,2
42,1,Matlab,0,6,7,1,7,7,7,2,7,1,0,0,0,0,2,2
42,2,R,0,5,4,6,6,7,3,7,7,0,1,0,0,0,2,2
42,3,SAS,1,6,6,4,7,5,6,2,7,0,0,1,0,0,1,1
42,4,SPSS,0,7,1,6,1,6,4,1,4,0,0,0,1,0,2,2
42,5,Stata,0,4,5,6,7,5,3,6,5,0,0,0,0,1,2,2
43,1,Matlab,0,2,3,2,5,2,5,7,7,1,0,0,0,0,2,2
43,2,R,1,7,7,3,6,6,5,6,5,0,1,0,0,0,1,1
43,3,SAS,0,3,2,7,2,5,2,3,7,0,0,1,0,0,2,2
43,4,SPSS,0,4,5,1,6,1,3,2,7,0,0,0,1,0,2,2
43,5,Stata,0,5,6,5,6,6,5,3,7,0,0,0,0,1,2,2
44,1,Matlab,0,1,3,2,4,1,4,5,7,1,0,0,0,0,2,2
44,2,R,0,1,1,7,2,5,7,3,2,0,1,0,0,0,2,2
44,3,SAS,1,7,3,7,2,2,5,5,2,0,0,1,0,0,1,1
44,4,SPSS,0,3,7,1,5,5,5,7,5,0,0,0,1,0,2,2
44,5,Stata,0,7,3,2,5,3,7,2,7,0,0,0,0,1,2,2
45,1,Matlab,1,7,7,7,5,2,7,6,7,1,0,0,0,0,1,1
45,2,R,0,7,3,5,3,6,3,3,2,0,1,0,0,0,2,2
45,3,SAS,0,7,7,2,7,7,5,1,7,0,0,1,0,0,2,2
45,4,SPSS,0,3,7,7,7,7,1,7,3,0,0,0,1,0,2,2
45,5,Stata,0,6,7,1,6,6,5,2,7,0,0,0,0,1,2,2
46,1,Matlab,1,6,7,7,6,6,7,6,6,1,0,0,0,0,1,1
46,2,R,0,6,4,7,7,7,4,7,2,0,1,0,0,0,2,2
46,3,SAS,0,1,1,7,1,4,1,6,5,0,0,1,0,0,2,2
46,4,SPSS,0,4,7,2,7,7,5,6,7,0,0,0,1,0,2,2
46,5,Stata,0,7,7,7,3,7,6,7,1,0,0,0,0,1,2,2
47,1,Matlab,0,1,1,7,1,3,1,6,2,1,0,0,0,0,2,2
47,2,R,0,7,1,7,2,3,2,6,5,0,1,0,0,0,2,2
47,3,SAS,0,5,1,7,1,6,3,2,3,0,0,1,0,0,2,2
47,4,SPSS,1,6,7,2,3,1,6,6,2,0,0,0,1,0,1,1
47,5,Stata,0,1,1,6,1,1,2,1,2,0,0,0,0,1,2,2
48,1,Matlab,1,5,7,7,7,7,7,7,7,1,0,0,0,0,1,1
48,2,R,0,7,6,2,3,7,1,4,3,0,1,0,0,0,2,2
48,3,SAS,0,6,5,7,1,7,6,2,7,0,0,1,0,0,2,2
48,4,SPSS,0,6,7,5,7,4,6,6,2,0,0,0,1,0,2,2
48,5,Stata,0,1,5,1,4,7,7,1,7,0,0,0,0,1,2,2
49,1,Matlab,0,7,3,7,2,7,3,4,5,1,0,0,0,0,2,2
49,2,R,1,6,7,5,6,6,3,7,7,0,1,0,0,0,1,1
49,3,SAS,0,5,1,7,7,6,4,2,6,0,0,1,0,0,2,2
49,4,SPSS,0,7,2,3,1,1,6,1,5,0,0,0,1,0,2,2
49,5,Stata,0,2,1,7,3,3,7,2,7,0,0,0,0,1,2,2
50,1,Matlab,0,5,1,7,1,1,1,3,2,1,0,0,0,0,2,2
50,2,R,0,7,7,1,2,7,3,4,6,0,1,0,0,0,2,2
50,3,SAS,0,7,1,3,7,2,5,3,5,0,0,1,0,0,2,2
50,4,SPSS,1,6,7,6,4,7,4,5,3,0,0,0,1,0,1,1
50,5,Stata,0,7,4,5,1,1,7,1,1,0,0,0,0,1,2,2
51,1,Matlab,0,7,2,7,3,2,7,3,2,1,0,0,0,0,2,2
51,2,R,0,7,2,7,1,2,2,3,4,0,1,0,0,0,2,2
51,3,SAS,0,5,7,1,6,2,6,6,6,0,0,1,0,0,2,2
51,4,SPSS,0,7,5,7,2,3,3,4,3,0,0,0,1,0,2,2
51,5,Stata,1,7,7,6,5,3,7,2,4,0,0,0,0,1,1,1
52,1,Matlab,0,1,4,2,7,4,2,5,3,1,0,0,0,0,2,2
52,2,R,0,6,1,4,1,1,1,1,1,0,1,0,0,0,2,2
52,3,SAS,0,7,7,4,5,7,7,1,5,0,0,1,0,0,2,2
52,4,SPSS,0,1,3,6,1,2,1,4,5,0,0,0,1,0,2,2
52,5,Stata,1,7,7,1,6,6,1,4,2,0,0,0,0,1,1,1
53,1,Matlab,0,4,7,2,6,6,6,6,7,1,0,0,0,0,2,2
53,2,R,0,7,1,7,5,2,6,7,1,0,1,0,0,0,2,2
53,3,SAS,1,6,7,1,7,6,6,3,6,0,0,1,0,0,1,1
53,4,SPSS,0,1,5,2,7,1,6,6,2,0,0,0,1,0,2,2
53,5,Stata,0,4,3,2,6,3,2,2,7,0,0,0,0,1,2,2
54,1,Matlab,0,1,1,7,2,6,4,2,7,1,0,0,0,0,2,2
54,2,R,0,7,7,1,7,6,6,4,6,0,1,0,0,0,2,2
54,3,SAS,0,2,1,7,2,5,1,3,2,0,0,1,0,0,2,2
54,4,SPSS,0,3,7,2,7,1,5,5,3,0,0,0,1,0,2,2
54,5,Stata,1,5,7,7,6,6,5,7,5,0,0,0,0,1,1,1
55,1,Matlab,0,1,5,7,4,3,7,7,7,1,0,0,0,0,2,2
55,2,R,1,7,1,6,3,3,6,7,3,0,1,0,0,0,1,1
55,3,SAS,0,1,1,3,1,1,1,4,7,0,0,1,0,0,2,2
55,4,SPSS,0,4,1,5,4,2,7,4,7,0,0,0,1,0,2,2
55,5,Stata,0,6,4,6,5,1,6,1,1,0,0,0,0,1,2,2
56,1,Matlab,0,1,1,5,2,2,4,1,4,1,0,0,0,0,2,2
56,2,R,1,4,7,1,7,6,1,6,2,0,1,0,0,0,1,1
56,3,SAS,0,2,1,6,1,2,5,3,7,0,0,1,0,0,2,2
56,4,SPSS,0,7,4,7,7,6,6,5,4,0,0,0,1,0,2,2
56,5,Stata,0,6,7,3,6,7,6,3,7,0,0,0,0,1,2,2
57,1,Matlab,0,4,1,7,1,5,7,2,5,1,0,0,0,0,2,2
57,2,R,0,3,4,3,2,3,1,3,2,0,1,0,0,0,2,2
57,3,SAS,0,1,2,4,5,2,1,6,3,0,0,1,0,0,2,2
57,4,SPSS,0,6,7,7,1,7,4,4,7,0,0,0,1,0,2,2
57,5,Stata,1,7,7,4,5,3,6,3,5,0,0,0,0,1,1,1
58,1,Matlab,0,2,7,5,6,7,4,3,2,1,0,0,0,0,2,2
58,2,R,0,5,7,2,3,2,6,4,6,0,1,0,0,0,2,2
58,3,SAS,1,7,7,2,7,7,7,6,6,0,0,1,0,0,1,1
58,4,SPSS,0,3,2,7,6,5,6,7,7,0,0,0,1,0,2,2
58,5,Stata,0,2,1,7,1,4,2,3,3,0,0,0,0,1,2,2
59,1,Matlab,0,6,5,7,4,6,6,6,1,1,0,0,0,0,2,2
59,2,R,1,7,4,6,6,5,3,7,6,0,1,0,0,0,1,1
59,3,SAS,0,7,7,3,7,6,1,2,2,0,0,1,0,0,2,2
59,4,SPSS,0,7,7,4,7,7,5,3,4,0,0,0,1,0,2,2
59,5,Stata,0,3,7,3,4,5,3,3,6,0,0,0,0,1,2,2
60,1,Matlab,0,2,7,7,4,7,2,3,4,1,0,0,0,0,2,2
60,2,R,0,1,1,3,1,2,1,3,2,0,1,0,0,0,2,2
60,3,SAS,1,2,7,1,5,4,3,5,4,0,0,1,0,0,1,1
60,4,SPSS,0,4,3,3,3,5,1,1,2,0,0,0,1,0,2,2
60,5,Stata,0,3,7,2,6,5,6,2,7,0,0,0,0,1,2,2
61,1,Matlab,1,3,7,1,5,7,7,5,7,1,0,0,0,0,1,1
61,2,R,0,7,1,6,3,1,6,5,1,0,1,0,0,0,2,2
61,3,SAS,0,5,6,6,4,5,5,6,2,0,0,1,0,0,2,2
61,4,SPSS,0,4,6,2,1,2,2,1,5,0,0,0,1,0,2,2
61,5,Stata,0,3,7,1,3,6,2,5,1,0,0,0,0,1,2,2
62,1,Matlab,1,5,7,7,6,6,6,7,5,1,0,0,0,0,1,1
62,2,R,0,2,4,2,1,3,4,6,5,0,1,0,0,0,2,2
62,3,SAS,0,6,6,5,3,5,1,4,2,0,0,1,0,0,2,2
62,4,SPSS,0,7,1,7,7,7,7,6,6,0,0,0,1,0,2,2
62,5,Stata,0,6,2,1,5,4,2,1,3,0,0,0,0,1,2,2
63,1,Matlab,1,6,5,7,7,7,7,6,7,1,0,0,0,0,1,1
63,2,R,0,3,1,5,1,1,4,7,5,0,1,0,0,0,2,2
63,3,SAS,0,6,2,3,7,5,7,2,6,0,0,1,0,0,2,2
63,4,SPSS,0,3,1,4,7,6,7,6,7,0,0,0,1,0,2,2
63,5,Stata,0,5,1,7,2,2,6,5,6,0,0,0,0,1,2,2
64,1,Matlab,0,1,7,5,6,7,5,7,7,1,0,0,0,0,2,2
64,2,R,0,2,1,5,1,1,2,5,2,0,1,0,0,0,2,2
64,3,SAS,0,1,6,2,6,1,4,6,6,0,0,1,0,0,2,2
64,4,SPSS,0,6,1,6,2,5,7,2,6,0,0,0,1,0,2,2
64,5,Stata,1,5,7,4,7,2,7,3,5,0,0,0,0,1,1,1
65,1,Matlab,0,1,2,2,4,5,5,5,6,1,0,0,0,0,2,2
65,2,R,0,5,2,1,3,7,3,4,2,0,1,0,0,0,2,2
65,3,SAS,0,1,1,3,1,1,2,3,1,0,0,1,0,0,2,2
65,4,SPSS,0,2,5,3,6,3,6,5,6,0,0,0,1,0,2,2
65,5,Stata,1,3,7,2,7,6,1,6,4,0,0,0,0,1,1,1
66,1,Matlab,1,7,7,5,6,7,7,2,6,1,0,0,0,0,1,1
66,2,R,0,7,7,2,4,7,6,1,7,0,1,0,0,0,2,2
66,3,SAS,0,4,4,6,2,2,6,5,3,0,0,1,0,0,2,2
66,4,SPSS,0,6,7,5,7,2,1,6,5,0,0,0,1,0,2,2
66,5,Stata,0,6,7,4,5,5,7,2,5,0,0,0,0,1,2,2
67,1,Matlab,0,4,1,7,2,6,7,2,5,1,0,0,0,0,2,2
67,2,R,0,7,6,6,1,7,1,6,1,0,1,0,0,0,2,2
67,3,SAS,0,1,4,2,1,1,1,6,6,0,0,1,0,0,2,2
67,4,SPSS,1,5,7,6,7,5,7,2,5,0,0,0,1,0,1,1
67,5,Stata,0,6,2,7,1,7,3,3,1,0,0,0,0,1,2,2
68,1,Matlab,1,5,7,5,6,7,5,6,6,1,0,0,0,0,1,1
68,2,R,0,7,3,6,3,5,1,7,1,0,1,0,0,0,2,2
68,3,SAS,0,4,1,1,3,1,6,1,4,0,0,1,0,0,2,2
68,4,SPSS,0,2,3,2,2,6,2,2,6,0,0,0,1,0,2,2
68,5,Stata,0,5,1,7,1,5,1,3,1,0,0,0,0,1,2,2
69,1,Matlab,0,1,3,7,2,7,1,6,2,1,0,0,0,0,2,2
69,2,R,1,7,6,6,4,5,7,7,1,0,1,0,0,0,1,1
69,3,SAS,0,6,7,2,3,1,5,3,4,0,0,1,0,0,2,2
69,4,SPSS,0,3,7,3,7,7,7,6,7,0,0,0,1,0,2,2
69,5,Stata,0,3,7,1,6,7,2,2,5,0,0,0,0,1,2,2
70,1,Matlab,0,2,1,7,4,7,7,4,6,1,0,0,0,0,2,2
